Id,성분,효능,브랜드명,스킨케어,제품명,가격,전성분표기,효능.1,피부타입,이미지url,비건인증,유니크,일반성분,고유성분,
TN8,"Dipotassium Glycyrrhizate, Propanediol, Pentylene Glycol, Caprylyl Glycol, Carbomer, Water, Arginine, Allantoin, Asiatic Acid, Asiaticoside, Sodium Hyaluronate, Glycerin, Centella Asiatica Extract, Madecassic Acid, Madecassoside","보습/수분 공급: 7, 진정: 4, 항산화: 3, 피부와 유사한 성분: 3, 용매: 3, 냄새 방지: 1, 보습/진정: 1, 유화 안정화: 1, 향료: 1, 점도조절 성분: 1",톤28,로션/크림,해남 병풀 카밍 젤 크림 60,2667,"병풀추출물,정제수,프로판다이올,펜틸렌글라이콜,카보머,글리세린,알지닌,알란토인,카프릴릴글라이콜,다이포타슘글리시리제이트,소듐하이알루로네이트,아시아티코사이드,마데카소사이드,마데카식애씨드,아시아틱애씨드","영양, 진정, 보습",모든피부,https://drive.google.com/uc?export=view&id=14aURiYEv7WcclDYArm7SsGlObB3nKjLg,VeganSociety,0,10,,
EH11,"Macadamia Ternifolia Seed Oil, Benzyl Glycol, Raspberry Ketone, Disodium EDTA, 1,2-Hexanediol, Helianthus Annuus (Sunflower) Seed Oil, Propylene Glycol Dicaprylate, Polyglyceryl-3 Methylglucose Distearate, Mentha Piperita (Peppermint) Extract, Panthenol, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Anthemis Nobilis Flower Extract, Water, Eucalyptus Globulus Leaf Extract, Ethylhexylglycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Niacinamide, Aloe Barbadensis Leaf Extract, Adenosine, Sorbitan Sesquioleate, Sodium Hyaluronate, Glycerin, Cetyl Ethylhexanoate, Cetearyl Alcohol, Beeswax, Butylene Glycol Dicaprylate/Dicaprate, Butylene Glycol, Centella Asiatica Extract","보습/수분 공급: 7, 보습/진정: 6, 용매: 4, 진정: 4, 유화성분: 3, 향료: 3, 점도조절 성분: 3, 세포대화성분: 2, 피부와 유사한 성분: 2, 여드름 예방: 1, 항산화: 1, 철합제: 1, 냄새 방지: 1, 유화 안정화: 1, 보존: 1, 미백: 1, 세정/클렌징: 1",에센허브,로션/크림,에센허브 티트리 크림 50,3380,"티트리잎추출물,글리세린,세틸에틸헥사노에이트,나이아신아마이드,세테아릴알코올,프로필렌글라이콜다이카프릴레이트,부틸렌글라이콜다이카프릴레이트/다이카프레이트,비즈왁스,폴리글리세릴-3메틸글루코오스다이스테아레이트,부틸렌글라이콜,정제수,마카다미아씨오일,해바라기씨오일,판테놀,솔비탄세스퀴올리에이트,아데노신,소듐하이알루로네이트,병풀추출물,알로에베라잎추출물,페퍼민트추출물,유칼립투스잎추출물,캐모마일꽃추출물,다이소듐이디티에이,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,벤질글라이콜,에틸헥실글리세린,라즈베리케톤,1??2-헥산다이올,티트리잎오일",수분공급,모든피부,https://shop-phinf.pstatic.net/20221102_80/16673659932443vaWF_JPEG/68501891909899666_1263600674.jpg?type=f295_381,EVE VEGAN,2,15,,
ML2,"1,2-Hexanediol, Camellia Sinensis Leaf Extract, Water, Butylene Glycol","용매: 3, 항산화: 1, 보습/수분 공급: 1, 진정: 1",멜릭서,스킨/토너,멜릭서 비건 밸런싱 토너 150,1200,"정제수,부틸렌글라이콜,1??2-헥산다이올,녹차추출물",진정,모든피부,https://kr.melixirskincare.com/web/product/tiny/202304/c3f64b6f1792b732431dd6a5e3d273f0.jpg,PETA,0,4,,
BJ8,Simmondsia Chinensis Seed Oil,보습/진정: 1,보나쥬르,에센스/세럼/앰플,유기농 호호바 오일 12,15000,호호바씨오일,보습,"건성, 민감성, 복합성",https://www.bonajour.com/web/product/big/202111/1d31390fcefb2adbd9748a36bae459ec.jpg,VeganSociety,0,1,,
BJ9,"Melaleuca Alternifolia (Tea Tree) Leaf Oil, Isoeugenol, Limonene","향료: 2, 냄새 방지: 1, 용매: 1",보나쥬르,에센스/세럼/앰플,유기농 티트리 오일 10,18000,"티트리잎오일,아이소유제놀,리모넨","진정, 트러블","건성, 복합성",https://www.bonajour.com/web/product/big/202212/b6269933ef27d6140028704beaff8569.jpg,VeganSociety,0,3,,
AM25,"Melissa Officinalis Leaf Water, Dipropylene Glycol, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Capryloyl Salicylic Acid, Limonene, Linalool","냄새 방지: 2, 향료: 2, 용매: 2, 각질 제거: 1",아로마티카,에센스/세럼/앰플,티트리 53 블레미쉬 스팟 10,18000,"다이프로필렌글라이콜,티트리잎추출물,티트리잎오일,카프릴로일살리실릭애씨드,리모넨,레몬밤잎수,리날룰",진정,"지성, 복합성, 민감성",https://aromatica.co.kr/web/product/medium/202307/c0c39e3e6728443e9c2cc70b80877cbd.jpg,VeganSociety,0,4,,
AY1,"Melia Azadirachta Flower Extract, Sasa Quelpaertensis Extract, Coccinia Indica Fruit Extract, Hydrolyzed Hyaluronic Acid, Disodium EDTA, Viscum Album (Mistletoe) Extract, Ocimum Sanctum Leaf Extract, 1,2-Hexanediol, Hyaluronic Acid, Hydroxyethylcellulose, Hydrogenated Polydecene, Dimethicone/Vinyl Dimethicone Crosspolymer, Propanediol, Polyglyceryl-10 Myristate, Tromethamine, Curcuma Longa (Turmeric) Root Extract, Caprylyl Methicone, Carbomer, Corallina Officinalis Extract, Water, Melia Azadirachta Leaf Extract, Nelumbo Nucifera Leaf Extract, Ethylhexylglycerin, Ammonium Polyacryloyldimethyl Taurate, Arginine, Aloe Barbadensis Flower Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Artemisia Vulgaris Extract, Sorbitan Olivate, Sodium Hyaluronate, Glycerin, Cetearyl Olivate, Glycereth-26, Morus Bombycis Leaf Extract, Butylene Glycol, Biosaccharide Gum-1, Solanum Melongena (Eggplant) Fruit Extract","보습/수분 공급: 8, 점도조절 성분: 6, 용매: 5, 보습/진정: 4, 유화 안정화: 4, 피부와 유사한 성분: 4, 유화성분: 2, 완충화제: 1, 철합제: 1, 냄새 방지: 1, 향료: 1, 보존: 1, 진정: 1",오드리앤영,로션/크림,하이 비건 얼스 워터 크림 80,2250,"정제수,부틸렌글라이콜,글리세린,1??2-헥산다이올,다이메티콘/비닐다이메티콘크로스폴리머,카프릴릴메티콘,프로판다이올,세테아릴올리베이트,글리세레스-26,솔비탄올리베이트,하이드로제네이티드폴리데센,바이오사카라이드검-1,트로메타민,카보머,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,폴리글리세릴-10미리스테이트,에틸헥실글리세린,하이드록시에틸셀룰로오스,다이소듐이디티에이,인도멀구슬나무잎추출물,인도멀구슬나무꽃추출물,소듐하이알루로네이트,암모늄폴리아크릴로일다이메틸타우레이트,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,아이비고드열매추출물,알로에베라꽃추출물,가지열매추출물,연꽃잎추출물,제주조릿대추출물,겨우살이추출물,홀리바질잎추출물,알지닌,산뽕나무잎추출물,불가리스쑥추출물,참산호말추출물,울금뿌리추출물","수분공급, 보습, 피부진정","모든피부, 건성",https://cdn-pro-web-250-83.cdn-nhncommerce.com/hanmiinter_godomall_com/data/goods/21/05/21/1000000075/1000000075_main_09.jpg,"PETA, EVE VEGAN",0,13,5,
EH7,"Vincetoxicum Atratum Extract, Ceramide NP, Melaleuca Alternifolia (Tea Tree) Leaf Water, Lavandula Angustifolia (Lavender) Oil, Dipotassium Glycyrrhizate, Dicaprylyl Carbonate, 1,2-Hexanediol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydrogenated Polydecene, Dimethiconol, Hydrogenated Lecithin, Diglycerin, Polymethylsilsesquioxane, Pentylene Glycol, Panthenol, Melaleuca Alternifolia (Tea Tree) Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Melaleuca Alternifolia (Tea Tree) Flower/Leaf/Stem Extract, Tromethamine, Tocopherol, 4-Terpineol, Caprylyl Methicone, Caprylic/Capric Triglyceride, Water, Althaea Rosea Flower Extract, Xanthan Gum, Eucalyptus Globulus Leaf Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Ethylhexylglycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Allantoin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glyceryl Acrylate/Acrylic Acid Copolymer, Sodium Phytate, Glycerin, Vinyl Dimethicone, Butylene Glycol, Centella Asiatica Leaf Extract, Beta-Glucan, Madecassoside, Limonene, Linalool","보습/수분 공급: 10, 보습/진정: 6, 용매: 6, 진정: 6, 점도조절 성분: 6, 향료: 4, 항산화: 3, 냄새 방지: 3, 유화 안정화: 3, 피부와 유사한 성분: 3, 완충화제: 1, 철합제: 1, 유화성분: 1, 보존: 1",에센허브,로션/크림,에센허브 티트리 수딩 인 카밍 크림 80,2488,"정제수,글리세린,부틸렌글라이콜,티트리잎수,카프릴릭/카프릭트라이글리세라이드,다이카프릴릴카보네이트,티트리잎추출물,펜틸렌글라이콜,1??2-헥산다이올,라벤더오일,티트리잎오일,티트리추출물,티트리꽃/잎/줄기추출물,백미꽃추출물,오렌지껍질오일,접시꽃추출물,병풀잎추출물,유칼립투스잎추출물,다이글리세린,하이드로제네이티드폴리데센,판테놀,비닐다이메티콘,카프릴릴메티콘,폴리메틸실세스퀴옥세인,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,다이메티콘올,트로메타민,마데카소사이드,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,에틸헥실글리세린,하이드로제네이티드레시틴,소듐파이테이트,알란토인,베타-글루칸,다이포타슘글리시리제이트,세라마이드엔피,4-터피네올,토코페롤,잔탄검,리모넨,리날룰","수분공급, 유수분밸런스조절",모든피부,https://shop-phinf.pstatic.net/20230612_175/16865611973539nPeF_JPEG/273648195387113_1035491863.jpg?type=f295_381,EVE VEGAN,0,14,,
EH9,"Malus Domestica Fruit Extract, Melia Azadirachta Flower Extract, Melaleuca Alternifolia (Tea Tree) Leaf Water, Lavandula Angustifolia (Lavender) Oil, Dipropylene Glycol, 1,2-Hexanediol, Hydroxyethyl Urea, Dextrin, Polyglyceryl-10 Laurate, Pentylene Glycol, Panthenol, Melaleuca Alternifolia (Tea Tree) Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Melaleuca Alternifolia (Tea Tree) Flower/Leaf/Stem Extract, Tocopherol, 4-Terpineol, Theobroma Cacao (Cocoa) Extract, Carbomer, Camellia Sinensis Leaf Extract, Water, Melia Azadirachta Leaf Extract, Eucalyptus Globulus Leaf Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Ethylhexylglycerin, Adenosine, Sodium Hyaluronate, Sodium Polyacrylate, Glycerin, Glycereth-26, Butylene Glycol, Centella Asiatica Leaf Extract, Beta-Glucan, Methylpropanediol, Limonene, Linalool","보습/수분 공급: 10, 용매: 7, 항산화: 4, 진정: 4, 점도조절 성분: 4, 냄새 방지: 3, 향료: 3, 유화 안정화: 2, 피부와 유사한 성분: 2, 흡수제: 1, 세포대화성분: 1, 보습/진정: 1, 유화성분: 1, 보존: 1, 세정/클렌징: 1",에센허브,에센스/세럼/앰플,에센허브 티트리 컨트롤 인 카밍 앰플 30,6663,"티트리잎수,글리세린,다이프로필렌글라이콜,부틸렌글라이콜,1??2-헥산다이올,정제수,티트리잎추출물,메틸프로판다이올,펜틸렌글라이콜,인도멀구슬나무잎추출물,카카오추출물,인도멀구슬나무꽃추출물,소듐하이알루로네이트,라벤더오일,티트리잎오일,오렌지껍질오일,녹차추출물,병풀잎추출물,티트리추출물,티트리꽃/잎/줄기추출물,사과추출물,유칼립투스잎추출물,글리세레스-26,하이드록시에틸우레아,폴리글리세릴-10라우레이트,판테놀,소듐폴리아크릴레이트,에틸헥실글리세린,아데노신,덱스트린,베타-글루칸,토코페롤,4-터피네올,카보머,리모넨,리날룰","트러블케어, 수분공급","모든피부, 민감성",https://shop-phinf.pstatic.net/20230609_210/1686297262013hhkVc_JPEG/229324820164393_93006871.jpg?type=f295_381,EVE VEGAN,1,14,,
AM3,"Chamomilla Recutita (Matricaria) Flower Extract, Verbena Officinalis Extract, Aniba Rosodora (Rosewood) Wood Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Rosmarinus Officinalis (Rosemary) Leaf Water, Propanediol, Polyglyceryl-10 Myristate, Polyglyceryl-10 Laurate, Ethylhexylglycerin, Aloe Barbadensis Leaf Extract, Glycerin, Maltodextrin, Linalool","보습/수분 공급: 3, 냄새 방지: 2, 보습/진정: 2, 흡수제: 1, 유화성분: 1, 유화 안정화: 1, 향료: 1, 보존: 1, 피부와 유사한 성분: 1, 용매: 1, 진정: 1, 세정/클렌징: 1",아로마티카,스킨/토너,바이탈라이징 로즈마리 디콕션 토너 리필 300,667,"로즈마리잎추출물,알로에베라잎추출물,글리세린,프로판다이올,로즈마리잎수,에틸헥실글리세린,폴리글리세릴-10라우레이트,폴리글리세릴-10미리스테이트,마트리카리아꽃추출물,마편초추출물,로즈마리잎오일,말토덱스트린,로즈우드오일,리날룰","진정, 보습",모든피부,https://aromatica.co.kr/web/product/medium/202203/ec6ff2dd0905129f6ddc385d02d94159.jpg,VeganSociety,1,11,,
AM16,"Chamomilla Recutita (Matricaria) Flower Extract, Ceramide NP, Verbena Officinalis Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Water, Lavandula Angustifolia (Lavender) Water, 1,2-Hexanediol, Hydrolyzed Glycosaminoglycans, Propanediol, Polyglyceryl-3 Methylglucose Distearate, Tamarindus Indica Seed Polysaccharide, Caprylic/Capric Triglyceride, Water, Ethylhexylglycerin, Arginine, Aloe Barbadensis Leaf Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glycerin, Butylene Glycol, Maltodextrin","보습/수분 공급: 5, 용매: 4, 보습/진정: 3, 피부와 유사한 성분: 3, 유화 안정화: 2, 흡수제: 1, 냄새 방지: 1, 유화성분: 1, 보존: 1, 진정: 1, 점도조절 성분: 1",아로마티카,로션/크림,수딩 알로에 아쿠아 크림 150,1333,"알로에베라잎추출물,글리세린,정제수,부틸렌글라이콜,카프릴릭/카프릭트라이글리세라이드,1??2-헥산다이올,라벤더수,로즈마리잎수,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,알지닌,폴리글리세릴-3메틸글루코오스다이스테아레이트,프로판다이올,에틸헥실글리세린,하이드롤라이즈드글라이코사미노글리칸,말토덱스트린,세라마이드엔피,마트리카리아꽃추출물,로즈마리잎추출물,마편초추출물,타마린드씨폴리사카라이드","수분공급, 진정",모든피부,https://aromatica.co.kr/web/product/medium/202307/e6c874f6702a6a2f283f5139d9ce292b.jpg,VeganSociety,1,10,,
TN7,"Citrus Aurantium Bergamia (Bergamot) Peel Oil, Citrus Aurantium Amara (Bitter Orange) Flower Oil, Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil, Aniba Rosodora (Rosewood) Wood Oil, Dipotassium Glycyrrhizate, Propanediol, Polyglyceryl-10 Oleate, Pentylene Glycol, Caprylyl Glycol, Geraniol, Eucalyptus Globulus Leaf Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Allantoin, Asiatic Acid, Asiaticoside, Citronellol, Sodium Hyaluronate, Pelargonium Graveolens Flower Oil, Glycerin, Centella Asiatica Extract, Juniperus Mexicana Oil, Madecassic Acid, Madecassoside, Limonene, Linalool","보습/수분 공급: 7, 향료: 7, 진정: 4, 항산화: 3, 냄새 방지: 3, 용매: 3, 피부와 유사한 성분: 2, 항균: 1, 보습/진정: 1",톤28,에센스/세럼/앰플,해남 병풀 오일 세럼 미스트 100,2000,"병풀추출물,프로판다이올,폴리글리세릴-10올리에이트,글리세린,알란토인,카프릴릴글라이콜,다이포타슘글리시리제이트,베르가모트껍질오일,비터오렌지꽃오일,로즈우드오일,센티드제라늄꽃오일,소듐하이알루로네이트,멕시칸주니퍼오일,오렌지껍질오일,유칼립투스잎오일,비터오렌지잎/잔가지오일,펜틸렌글라이콜,아시아티코사이드,마데카소사이드,마데카식애씨드,아시아틱애씨드,리모넨,리날룰,시트로넬올,제라니올","수분공급, 보습",모든피부,https://doc-14-58-docs.googleusercontent.com/docs/securesc/hs01evm6e0hsi48olt6avqt8u6goghka/0f6nkocqh5o66e712vjfjl3q7aih0s8a/1696907925000/15133659543599301165/10866428248407012855/1YsL1PBbbKSKKM9P0EBlwdTREf9kmJmZe?e=view&ax=AA75yW4lqecl_Ehn1wWps6HNetgXN0ykRiRedHpKVs-Ss11eGfAd81PcnIsl81Um3QlhruttIAKW-NJ5nXOoOhcL7Kw3whM6OLpGdivc5FHd3rGHy5fWOFoRkK8TcKqObo1WW8TJjQVyTnOtkN89IhCOx1RJJ-4E-bOQRkIjoSAY0-gu1IwqHRjtRk_lPMUl5Jkc_hwaR9EqZysIKiWqhJJyd-tO5weDjiAWDBoiQ8pflFxigEx6E8281pmAnUk3T4LfQTwxuWsvZ3-dZgC5QGhKMpJSyrC-eusvIhm-SwAsmFSMvSrBb_csQ73R7v4BQK7YsL1Rsysp4OWrkTZjyR00sLJJwveVsxM9-THAauviSgFN3ngwoR_AVnm9We-s5CfoxCXLqr7SLf-ZB9FJ__0_Rcho4tUyq_7P_1GZC51WXpirhINPoviVmovXH3K5UJnI1P0agOW1B3HOBXIMyMBiAWpUVBnxtjgVoHi5OsR4DggOsJH1uWBVUS3M30zZ6xwbyD8VjIADLXwpc91479xIjEsS6Acv7oRepJ-d3WV-TsZH-wkGqs7gjCM-68a6zbu8DNTsBOGYqeG0Zmx99wbsrLf01Zn4iCJjVdvwzLNRPFO0YYVomZvQLWdXlqBvx3egUC_Cx1f7GsbRWRSU1DhRU97PMUruBZo3SvNhBBgGWY_gVSy3oW4wt_9DGvXm4K5auajs3TbR8Lw9IuRleYQdjR3NJwDf_R_RUjBe8VHuEDeMznjH2WF63GIZFhN50Z7gMs4k72h20Tp8fvrZjIdzFDF6PPoI12tIOgck2wuD6y3k_83BFWSncb_Cah40T3IPbLZrEmXLOjlTbzPDHR1XKEyA5mh7o4gBkP7Ta5dBoNCfqPH9zYAFNEueb0kkno45vw&uuid=5ef19502-27d5-446e-a6d6-c7e269da9f72&authuser=0,VeganSociety,0,9,,
